          atime         pdf_uu         pdf_vv         pdf_ww         pm1avg           tavg
  2.0799350E+02  2.3259790E-08  7.9974450E-06 -1.5466527E-07 -8.4116403E-02  0.0000000E+00
  2.0799350E+02  3.5074675E-03  1.0403296E-02 -9.2151816E-04 -8.3523519E-02  0.0000000E+00
  2.0799350E+02  1.0684569E-02 -4.2483122E-04 -6.3922328E-04 -8.2266432E-02  0.0000000E+00
  2.0799350E+02  1.4053504E-02 -7.1350466E-03  2.5726329E-04 -8.0429800E-02  0.0000000E+00
  2.0799350E+02  1.3491547E-02 -1.0453724E-02  6.9759645E-04 -7.8449917E-02  0.0000000E+00
  2.0799350E+02  1.2225568E-02 -1.0661042E-02  3.5701735E-05 -7.6577742E-02  0.0000000E+00
  2.0799350E+02  1.1863273E-02 -7.2927736E-03 -1.2345261E-03 -7.4857711E-02  0.0000000E+00
  2.0799350E+02  1.2350637E-02 -2.0986283E-03 -1.8865817E-03 -7.3235418E-02  0.0000000E+00
  2.0799350E+02  1.3124844E-02  3.0503057E-03 -1.5690621E-03 -7.1635461E-02  0.0000000E+00
  2.0799350E+02  1.3773549E-02  6.5957412E-03 -6.6107024E-04 -6.9996317E-02  0.0000000E+00
  2.0799350E+02  1.4078052E-02  8.8899331E-03 -6.2898170E-05 -6.8274457E-02  0.0000000E+00
  2.0799350E+02  1.4091477E-02  1.0867329E-02 -4.4507105E-04 -6.6451041E-02  0.0000000E+00
  2.0799350E+02  1.3967866E-02  1.2806957E-02 -1.6166590E-03 -6.4535137E-02  0.0000000E+00
  2.0799350E+02  1.3725900E-02  1.4022606E-02 -2.5363754E-03 -6.2559026E-02  0.0000000E+00
  2.0799350E+02  1.3201702E-02  1.3516713E-02 -2.1807774E-03 -6.0563377E-02  0.0000000E+00
  2.0799350E+02  1.2376414E-02  1.1410014E-02 -1.0000213E-03 -5.8573726E-02  0.0000000E+00
  2.0799350E+02  1.1567494E-02  8.5544349E-03  7.5938121E-04 -5.6602816E-02  0.0000000E+00
  2.0799350E+02  1.0847673E-02  5.4043977E-03  2.3442407E-03 -5.4656926E-02  0.0000000E+00
  2.0799350E+02  1.0120293E-02  2.3507984E-03  3.5197092E-03 -5.2745672E-02  0.0000000E+00
  2.0799350E+02  9.3023274E-03 -3.0135651E-04  4.2537864E-03 -5.0877670E-02  0.0000000E+00
  2.0799350E+02  8.3642977E-03 -2.3776272E-03  4.5057866E-03 -4.9058430E-02  0.0000000E+00
  2.0799350E+02  7.3381581E-03 -3.7787237E-03  4.2360930E-03 -4.7290626E-02  0.0000000E+00
  2.0799350E+02  6.3000809E-03 -4.4149746E-03  3.5112875E-03 -4.5575487E-02  0.0000000E+00
  2.0799350E+02  5.3350943E-03 -4.2206607E-03  2.5787437E-03 -4.3914070E-02  0.0000000E+00
  2.0799350E+02  4.4905165E-03 -3.3381949E-03  1.7847722E-03 -4.2307157E-02  0.0000000E+00
  2.0799350E+02  3.7251313E-03 -2.5621260E-03  1.2104044E-03 -4.0752531E-02  0.0000000E+00
  2.0799350E+02  3.0607254E-03 -1.6268565E-03  6.2183790E-04 -3.9246318E-02  0.0000000E+00
